PartNumber,Description,Value,Tolerance_pct,Voltage_V,Type,URL,Price
027-270,Jantzen 0425 3.3uF 400V Z-Standard Capacitor,3.3,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0425-3.3uF-400V-Z-Standard-Capacitor-027-270,2.06
027-328,3.3uF 100V Non-Polarized Capacitor,3.3,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/3.3uF-100V-Non-Polarized-Capacitor-027-328,0.89
027-778,Jantzen 0658 3.9uF 800V Z-Silver Capacitor,3.9,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0658-3.9uF-800V-Z-Silver-Capacitor-027-778,38.19
027-488,Jantzen 0558 3.9uF 800V Z-Superior Capacitor,3.9,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0558-3.9uF-800V-Z-Superior-Capacitor-027-488,4.06
027-113,Audyn Cap Q4 3.9uF 400V MKP Foil Capacitor,3.9,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-3.9uF-400V-MKP-Foil-Capacitor-027-113,3.91
027-272,Jantzen 0431 3.9uF 400V Z-Standard Capacitor,3.9,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0431-3.9uF-400V-Z-Standard-Capacitor-027-272,23.15
027-548,Solen 3.9uF 400V Polypropylene Capacitor,3.9,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-3.9uF-400V-Polypropylene-Capacitor-027-548,6.82
027-922,Jantzen 0246 3.9uF 400V Crosscap Capacitor,3.9,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0246-3.9uF-400V-Crosscap-Capacitor-027-922,6.82
027-226,Dayton Audio PMPC-4.0 4.0uF 250V Precision Audio C,4.0,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-4.0-4.0uF-250V-Precision-Audio-Capacitor-027-226,1.39
027-421,Dayton Audio DMPC-4.0 4.0uF 250V Polypropylene C,4.0,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-4.0-4.0uF-250V-Polypropylene-Capacitor-027-421,4.69
027-330,4.0uF 100V Non-Polarized Capacitor,4.0,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/4.0uF-100V-Non-Polarized-Capacitor-027-330,0.89
027-419,Dayton Audio DMPC-4.3 4.3uF 250V Polypropylene C,4.3,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-4.3-4.3uF-250V-Polypropylene-Capacitor-027-419,1.59
027-550,Solen 4.3uF 400V Polypropylene Capacitor,4.3,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-4.3uF-400V-Polypropylene-Capacitor-027-550,1.59
027-230,Dayton Audio PMPC-4.7 4.7uF 250V Precision Audio C,4.7,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-4.7-4.7uF-250V-Precision-Audio-Capacitor-027-230,1.69
027-780,Jantzen 0662 4.7uF 800V Z-Silver Capacitor,4.7,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0662-4.7uF-800V-Z-Silver-Capacitor-027-780,24.58
027-490,Jantzen 0562 4.7uF 800V Z-Superior Capacitor,4.7,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0562-4.7uF-800V-Z-Superior-Capacitor-027-490,4.31
027-137,Audyn Cap Plus 4.7uF 800V Double Layer MKP Foil C,4.7,2,1200,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-4.7uF-800V-Double-Layer-MKP-Foil-Capacitor-027-137,24.17
027-4614,Jantzen 7040 4.7uF Alumen Z-Cap 100 VDC Aluminum Fo,4.7,3,100,Film and Foil,https://www.parts-express.com/Jantzen-7040-4.7uF-Alumen-Z-Cap-100-VDC-Aluminum-Foil-Capacitor-027-4614,66.67
027-422,Dayton Audio DMPC-4.7 4.7uF 250V Polypropylene C,4.7,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-4.7-4.7uF-250V-Polypropylene-Capacitor-027-422,4.89
027-924,Jantzen 0250 4.7uF 400V Crosscap Capacitor,4.7,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0250-4.7uF-400V-Crosscap-Capacitor-027-924,2.83
027-552,Solen 4.7uF 400V Polypropylene Capacitor,4.7,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-4.7uF-400V-Polypropylene-Capacitor-027-552,1.69
027-274,Jantzen 0434 4.7uF 400V Z-Standard Capacitor,4.7,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0434-4.7uF-400V-Z-Standard-Capacitor-027-274,
027-114,Audyn Cap Q4 4.7uF 400V MKP Foil Capacitor,4.7,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-4.7uF-400V-MKP-Foil-Capacitor-027-114,4.5
027-332,4.7uF 100V Non-Polarized Capacitor,4.7,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/4.7uF-100V-Non-Polarized-Capacitor-027-332,0.89
027-232,Dayton Audio PMPC-5.1 5.1uF 250V Precision Audio C,5.1,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-5.1-5.1uF-250V-Precision-Audio-Capacitor-027-232,5.19
027-423,Dayton Audio DMPC-5.1 5.1uF 250V Polypropylene C,5.1,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-5.1-5.1uF-250V-Polypropylene-Capacitor-027-423,5.19
027-554,Solen 5.1uF 400V Polypropylene Capacitor,5.1,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-5.1uF-400V-Polypropylene-Capacitor-027-554,1.79
027-234,Dayton Audio PMPC-5.6 5.6uF 250V Precision Audio C,5.6,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-5.6-5.6uF-250V-Precision-Audio-Capacitor-027-234,1.89
027-782,Jantzen 0666 5.6uF 800V Z-Silver Capacitor,5.6,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0666-5.6uF-800V-Z-Silver-Capacitor-027-782,27.04
027-492,Jantzen 0566 5.6uF 800V Z-Superior Capacitor,5.6,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0566-5.6uF-800V-Z-Superior-Capacitor-027-492,45.06
027-138,Audyn Cap Plus 5.6uF 800V Double Layer MKP Foil C,5.6,2,800,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-5.6uF-800V-Double-Layer-MKP-Foil-Capacitor-027-138,28.57
027-425,Dayton Audio DMPC-5.6 5.6uF 250V Polypropylene C,5.6,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-5.6-5.6uF-250V-Polypropylene-Capacitor-027-425,5.29
027-556,Solen 5.6uF 400V Polypropylene Capacitor,5.6,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-5.6uF-400V-Polypropylene-Capacitor-027-556,1.89
027-926,Jantzen 0254 5.6uF 400V Crosscap Capacitor,5.6,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0254-5.6uF-400V-Crosscap-Capacitor-027-926,3.71
027-276,Jantzen 0437 5.6uF 400V Z-Standard Capacitor,5.6,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0437-5.6uF-400V-Z-Standard-Capacitor-027-276,4.56
027-115,Audyn Cap Q4 5.6uF 400V MKP Foil Capacitor,5.6,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-5.6uF-400V-MKP-Foil-Capacitor-027-115,4.98
027-334,5.6uF 100V Non-Polarized Capacitor,5.6,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/5.6uF-100V-Non-Polarized-Capacitor-027-334,0.99
027-236,Dayton Audio PMPC-6.2 6.2uF 250V Precision Audio C,6.2,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-6.2-6.2uF-250V-Precision-Audio-Capacitor-027-236,1.99
027-427,Dayton Audio DMPC-6.2 6.2uF 250V Polypropylene C,6.2,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-6.2-6.2uF-250V-Polypropylene-Capacitor-027-427,5.79
027-558,Solen 6.2uF 400V Polypropylene Capacitor,6.2,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-6.2uF-400V-Polypropylene-Capacitor-027-558,1.99
027-238,Dayton Audio PMPC-6.8 6.8uF 250V Precision Audio C,6.8,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-6.8-6.8uF-250V-Precision-Audio-Capacitor-027-238,3.09
027-139,Audyn Cap Plus 6.8uF 800V Double Layer MKP Foil C,6.8,2,800,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-6.8uF-800V-Double-Layer-MKP-Foil-Capacitor-027-139,30.51
027-784,Jantzen 0670 6.8uF 800V Z-Silver Capacitor,6.8,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0670-6.8uF-800V-Z-Silver-Capacitor-027-784,47.21
027-494,Jantzen 0570 6.8uF 800V Z-Superior Capacitor,6.8,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0570-6.8uF-800V-Z-Superior-Capacitor-027-494,3.96
027-4618,Jantzen 7050 6.8uF Alumen Z-Cap 100 VDC Aluminum Fo,6.8,3,100,Film and Foil,https://www.parts-express.com/Jantzen-7050-6.8uF-Alumen-Z-Cap-100-VDC-Aluminum-Foil-Capacitor-027-4618,78.65
027-424,Dayton Audio DMPC-6.8 6.8uF 250V Polypropylene C,6.8,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-6.8-6.8uF-250V-Polypropylene-Capacitor-027-424,3.96
027-928,Jantzen 0258 6.8uF 400V Crosscap Capacitor,6.8,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0258-6.8uF-400V-Crosscap-Capacitor-027-928,6.98
027-278,Jantzen 0440 6.8uF 400V Z-Standard Capacitor,6.8,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0440-6.8uF-400V-Z-Standard-Capacitor-027-278,3.96
027-560,Solen 6.8uF 400V Polypropylene Capacitor,6.8,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-6.8uF-400V-Polypropylene-Capacitor-027-560,1.99
027-116,Audyn Cap Q4 6.8uF 400V MKP Foil Capacitor,6.8,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-6.8uF-400V-MKP-Foil-Capacitor-027-116,5.94
027-336,6.8uF 100V Non-Polarized Capacitor,6.8,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/6.8uF-100V-Non-Polarized-Capacitor-027-336,1.09
027-429,Dayton Audio DMPC-7.5 7.5uF 250V Polypropylene C,7.5,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-7.5-7.5uF-250V-Polypropylene-Capacitor-027-429,2.29
027-562,Solen 7.5uF 400V Polypropylene Capacitor,7.5,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-7.5uF-400V-Polypropylene-Capacitor-027-562,2.29
027-338,8.0uF 100V Non-Polarized Capacitor,8.0,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/8.0uF-100V-Non-Polarized-Capacitor-027-338,1.09
027-242,Dayton Audio PMPC-8.2 8.2uF 250V Precision Audio C,8.2,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-8.2-8.2uF-250V-Precision-Audio-Capacitor-027-242,2.39
027-496,Jantzen 0574 8.2uF 800V Z-Superior Capacitor,8.2,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0574-8.2uF-800V-Z-Superior-Capacitor-027-496,35.87
027-140,Audyn Cap Plus 8.2uF 800V Double Layer MKP Foil C,8.2,2,800,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-8.2uF-800V-Double-Layer-MKP-Foil-Capacitor-027-140,37.49
027-4620,Jantzen 7055 8.2uF Alumen Z-Cap 100 VDC Aluminum Fo,8.2,3,100,Film and Foil,https://www.parts-express.com/Jantzen-7055-8.2uF-Alumen-Z-Cap-100-VDC-Aluminum-Foil-Capacitor-027-4620,87.4
027-426,Dayton Audio DMPC-8.2 8.2uF 250V Polypropylene C,8.2,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-8.2-8.2uF-250V-Polypropylene-Capacitor-027-426,2.81
027-117,Audyn Cap Q4 8.2uF 400V MKP Foil Capacitor,8.2,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-8.2uF-400V-MKP-Foil-Capacitor-027-117,7.11
027-564,Solen 8.2uF 400V Polypropylene Capacitor,8.2,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-8.2uF-400V-Polypropylene-Capacitor-027-564,2.39
027-280,Jantzen 0443 8.2uF 400V Z-Standard Capacitor,8.2,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0443-8.2uF-400V-Z-Standard-Capacitor-027-280,7.38
027-930,Jantzen 0262 8.2uF 400V Crosscap Capacitor,8.2,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0262-8.2uF-400V-Crosscap-Capacitor-027-930,9.34
027-566,Solen 9.1uF 400V Poylpropylene Capacitor,9.1,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-9.1uF-400V-Poylpropylene-Capacitor-027-566,9.83
027-931,Jantzen 0263 9.1uF 400V Crosscap Capacitor,9.1,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0263-9.1uF-400V-Crosscap-Capacitor-027-931,4.88
027-244,Dayton Audio PMPC-10 10uF 250V Precision Audio C,10.0,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-10-10uF-250V-Precision-Audio-Capacitor-027-244,8.35
027-788,Jantzen 0678 10uF 800V Z-Silver Capacitor,10.0,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0678-10uF-800V-Z-Silver-Capacitor-027-788,68.29
027-141,Audyn Cap Plus 10uF 800V Double Layer MKP Foil C,10.0,2,800,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-10uF-800V-Double-Layer-MKP-Foil-Capacitor-027-141,48.29
027-497,Jantzen 0578 10uF 800V Z-Superior Capacitor,10.0,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0578-10uF-800V-Z-Superior-Capacitor-027-497,43.5
027-4022,Jantzen 7060 10.0uF Alumen Z-Cap 100 VDC Aluminum F,10.0,3,100,Film and Foil,https://www.parts-express.com/Jantzen-7060-10.0uF-Alumen-Z-Cap-100-VDC-Aluminum-Foil-Capacitor-027-4022,95.85
027-428,Dayton Audio DMPC-10 10uF 250V Polypropylene C,10.0,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-10-10uF-250V-Polypropylene-Capacitor-027-428,7.34
027-568,Solen 10uF 400V Polypropylene Capacitor,10.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-10uF-400V-Polypropylene-Capacitor-027-568,3.09
027-282,Jantzen 0446 10uF 400V Z-Standard Capacitor,10.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0446-10uF-400V-Z-Standard-Capacitor-027-282,8.35
027-932,Jantzen 0264 10uF 400V Crosscap Capacitor,10.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0264-10uF-400V-Crosscap-Capacitor-027-932,7.4
027-118,Audyn Cap Q4 10uF 400V MKP Foil Capacitor,10.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-10uF-400V-MKP-Foil-Capacitor-027-118,7.34
027-648,Solen 10uF 700V Silver MKP Metallized Polypropylene,10.0,5,700,Metalized Polypropylene,https://www.parts-express.com/Solen-10uF-700V-Silver-MKP-Metallized-Polypropylene-Crossove-027-648,68.16
027-340,10uF 100V Non-Polarized Capacitor,10.0,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/10uF-100V-Non-Polarized-Capacitor-027-340,1.09
027-740,Audiocap PPT Theta 10uF 200V Film/Foil Capacitor,10.0,10,200,Film and Foil,https://www.parts-express.com/Audiocap-PPT-Theta-10uF-200V-Film-Foil-Capacitor-027-740,
027-571,Solen 11uF 400V Polypropylene Capacitor,11.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-11uF-400V-Polypropylene-Capacitor-027-571,11.13
027-246,Dayton Audio PMPC-12 12uF 250V Precision Audio C,12.0,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-12-12uF-250V-Precision-Audio-Capacitor-027-246,3.59
027-430,Dayton Audio DMPC-12 12uF 250V Polypropylene C,12.0,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-12-12uF-250V-Polypropylene-Capacitor-027-430,7.78
027-934,Jantzen 0266 12uF 400V Crosscap Capacitor,12.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0266-12uF-400V-Crosscap-Capacitor-027-934,8.1
027-162,Audyn Cap Q4 12uF 400V MKP Foil Capacitor,12.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-12uF-400V-MKP-Foil-Capacitor-027-162,7.78
027-572,Solen 12uF 400V Polypropylene Capacitor,12.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-12uF-400V-Polypropylene-Capacitor-027-572,3.59
027-342,12uF 100V Non-Polarized Capacitor,12.0,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/12uF-100V-Non-Polarized-Capacitor-027-342,3.59
027-248,Dayton Audio PMPC-15 15uF 250V Precision Audio C,15.0,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-15-15uF-250V-Precision-Audio-Capacitor-027-248,4.19
027-790,Jantzen 0686 15uF 800V Z-Silver Capacitor,15.0,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0686-15uF-800V-Z-Silver-Capacitor-027-790,53.81
027-498,Jantzen 0586 15uF 800V Z-Superior Capacitor,15.0,2,800,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0586-15uF-800V-Z-Superior-Capacitor-027-498,75.31
027-432,Dayton Audio DMPC-15 15uF 250V Polypropylene C,15.0,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-15-15uF-250V-Polypropylene-Capacitor-027-432,12.29
027-284,Jantzen 0449 15uF 400V Z-Standard Capacitor,15.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0449-15uF-400V-Z-Standard-Capacitor-027-284,12.56
027-119,Audyn Cap Q4 15uF 400V MKP Foil Capacitor,15.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Q4-15uF-400V-MKP-Foil-Capacitor-027-119,8.45
027-936,Jantzen 0268 15uF 400V Crosscap Capacitor,15.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0268-15uF-400V-Crosscap-Capacitor-027-936,8.56
027-576,Solen 15uF 400V Polypropylene Capacitor,15.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-15uF-400V-Polypropylene-Capacitor-027-576,4.19
027-344,15uF 100V Non-Polarized Capacitor,15.0,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/15uF-100V-Non-Polarized-Capacitor-027-344,4.19
027-578,Solen 16uF 400V Polypropylene Capacitor,16.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-16uF-400V-Polypropylene-Capacitor-027-578,12.24
027-346,17uF 100V Non-Polarized Capacitor,17.0,10,100,Non-Polarized Electrolytic,https://www.parts-express.com/17uF-100V-Non-Polarized-Capacitor-027-346,1.29
027-434,Dayton Audio DMPC-18 18uF 250V Polypropylene C,18.0,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-18-18uF-250V-Polypropylene-Capacitor-027-434,4.79
027-580,Solen 18uF 400V Polypropylene Capacitor,18.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-18uF-400V-Polypropylene-Capacitor-027-580,4.79
027-938,Jantzen 0270 18uF 400V Crosscap Capacitor,18.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0270-18uF-400V-Crosscap-Capacitor-027-938,10.02
027-252,Dayton Audio PMPC-20 20uF 250V Precision Audio C,20.0,1,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-PMPC-20-20uF-250V-Precision-Audio-Capacitor-027-252,12.79
027-436,Dayton Audio DMPC-20 20uF 250V Polypropylene C,20.0,5,250,Metalized Polypropylene,https://www.parts-express.com/Dayton-Audio-DMPC-20-20uF-250V-Polypropylene-Capacitor-027-436,6.25
027-939,Jantzen 0271 20uF 400V Crosscap Capacitor,20.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Jantzen-0271-20uF-400V-Crosscap-Capacitor-027-939,11.25
027-582,Solen 20uF 400V Polypropylene Capacitor,20.0,5,400,Metalized Polypropylene,https://www.parts-express.com/Solen-20uF-400V-Polypropylene-Capacitor-027-582,5.09
027-143,Audyn Cap Plus 22uF 800V Double Layer MKP Foil C,22.0,2,800,Metalized Polypropylene,https://www.parts-express.com/Audyn-Cap-Plus-22uF-800V-Double-Layer-MKP-Foil-Capacitor-027-143,72.36
